Symbol,Time,Open,High,Low,Last,Change,Volume,Open Int
ESH20,1/2/2020 11:15,3241,3241.25,3240.5,3241,0.25,1667,N/A
ESH20,1/2/2020 11:14,3241.5,3241.5,3240.75,3240.75,-0.5,938,N/A
ESH20,1/2/2020 11:13,3241.5,3241.5,3241.25,3241.25,-0.25,538,N/A
ESH20,1/2/2020 11:12,3241.75,3241.75,3241.25,3241.5,0,1062,N/A
ESH20,1/2/2020 11:11,3241.75,3241.75,3241.25,3241.5,-0.25,549,N/A
ESH20,1/2/2020 11:10,3241.75,3241.75,3241.25,3241.75,0,1222,N/A
ESH20,1/2/2020 11:09,3241.25,3241.75,3241.25,3241.75,0.75,1214,N/A
ESH20,1/2/2020 11:08,3241.25,3241.5,3241,3241,-0.25,580,N/A
ESH20,1/2/2020 11:07,3241,3241.5,3241,3241.25,0.5,1488,N/A
ESH20,1/2/2020 11:06,3241,3241.25,3240.25,3240.75,-0.25,2691,N/A
ESH20,1/2/2020 11:05,3241,3241.25,3240.75,3241,0.25,1693,N/A
ESH20,1/2/2020 11:04,3240.5,3241,3240,3240.75,0.5,2237,N/A
ESH20,1/2/2020 11:03,3240,3240.75,3239.5,3240.25,0.5,1294,N/A
ESH20,1/2/2020 11:02,3239.75,3240.25,3239.5,3239.75,0.25,1267,N/A
ESH20,1/2/2020 11:01,3240.5,3240.5,3239.5,3239.5,-1,1200,N/A
ESH20,1/2/2020 11:00,3241,3241,3240,3240.5,-0.25,2046,N/A
ESH20,1/2/2020 10:59,3240,3241.25,3240,3240.75,1,1670,N/A
ESH20,1/2/2020 10:58,3240.25,3240.25,3239.75,3239.75,-0.5,1193,N/A
ESH20,1/2/2020 10:57,3240.25,3240.25,3239.75,3240.25,0.25,1263,N/A
ESH20,1/2/2020 10:56,3240.5,3240.5,3240,3240,-0.25,1571,N/A
ESH20,1/2/2020 10:55,3241,3241,3240.25,3240.25,-0.75,1431,N/A
ESH20,1/2/2020 10:54,3241.25,3241.25,3240.5,3241,0,2190,N/A
ESH20,1/2/2020 10:53,3241,3241.25,3240.75,3241,0.25,1009,N/A
ESH20,1/2/2020 10:52,3241.25,3241.25,3240.75,3240.75,-0.5,1383,N/A
ESH20,1/2/2020 10:51,3240.25,3241.25,3240,3241.25,1.25,2164,N/A
ESH20,1/2/2020 10:50,3240,3240.75,3239.75,3240,0,2351,N/A
ESH20,1/2/2020 10:49,3240.25,3240.25,3239.75,3240,-0.25,1246,N/A
ESH20,1/2/2020 10:48,3239.75,3240.25,3239.5,3240.25,0.5,2249,N/A
ESH20,1/2/2020 10:47,3239.25,3239.75,3238.75,3239.75,0.75,1250,N/A
ESH20,1/2/2020 10:46,3239.5,3239.75,3238.75,3239,-0.25,2193,N/A
ESH20,1/2/2020 10:45,3239.5,3239.75,3239.25,3239.25,-0.25,2836,N/A
ESH20,1/2/2020 10:44,3239,3239.75,3238.5,3239.5,0.75,3293,N/A
ESH20,1/2/2020 10:43,3238.5,3239,3238.25,3238.75,0.5,1917,N/A
ESH20,1/2/2020 10:42,3238.5,3239,3237.75,3238.25,-0.25,2546,N/A
ESH20,1/2/2020 10:41,3238.5,3239,3238.25,3238.5,-0.25,1883,N/A
ESH20,1/2/2020 10:40,3238.75,3239,3238,3238.75,-0.25,3056,N/A
ESH20,1/2/2020 10:39,3238.75,3239.25,3238.25,3239,0.25,2888,N/A
ESH20,1/2/2020 10:38,3238.25,3238.75,3238,3238.75,0.25,1835,N/A
ESH20,1/2/2020 10:37,3237,3238.5,3236.75,3238.5,1.25,3566,N/A
ESH20,1/2/2020 10:36,3236.5,3237.5,3235.5,3237.25,0.5,5465,N/A
ESH20,1/2/2020 10:35,3237.5,3237.75,3236,3236.75,-0.75,7507,N/A
ESH20,1/2/2020 10:34,3239.5,3239.75,3236.75,3237.5,-2.25,7785,N/A
ESH20,1/2/2020 10:33,3240.25,3240.5,3239.5,3239.75,-0.5,4190,N/A
ESH20,1/2/2020 10:32,3241.5,3241.5,3240.25,3240.25,-1.25,2374,N/A
ESH20,1/2/2020 10:31,3241.75,3241.75,3241.5,3241.5,-0.25,617,N/A
ESH20,1/2/2020 10:30,3242,3242,3241,3241.75,-0.25,3397,N/A
ESH20,1/2/2020 10:29,3242,3242.25,3241.75,3242,0,1408,N/A
ESH20,1/2/2020 10:28,3241.75,3242.25,3241.75,3242,0.25,575,N/A
ESH20,1/2/2020 10:27,3241.75,3242,3241.5,3241.75,0.25,923,N/A
ESH20,1/2/2020 10:26,3242.25,3242.25,3241.5,3241.5,-0.75,1439,N/A
ESH20,1/2/2020 10:25,3243.5,3243.5,3242,3242.25,-1.25,2982,N/A
ESH20,1/2/2020 10:24,3242.75,3243.5,3242.5,3243.5,1,1668,N/A
ESH20,1/2/2020 10:23,3242.5,3242.75,3242,3242.5,0,1399,N/A
ESH20,1/2/2020 10:22,3242.25,3242.5,3241.75,3242.5,0.25,1163,N/A
ESH20,1/2/2020 10:21,3241.75,3242.75,3241.75,3242.25,0.5,1542,N/A
ESH20,1/2/2020 10:20,3241.5,3242.25,3241.5,3241.75,0,2236,N/A
ESH20,1/2/2020 10:19,3242,3242.25,3241.25,3241.75,-0.25,2509,N/A
ESH20,1/2/2020 10:18,3242.75,3243,3241.75,3242,-0.75,2048,N/A
ESH20,1/2/2020 10:17,3243.5,3243.5,3242.5,3242.75,-0.75,1710,N/A
ESH20,1/2/2020 10:16,3243.25,3243.5,3242.75,3243.5,0.25,1428,N/A
ESH20,1/2/2020 10:15,3243.75,3243.75,3242.75,3243.25,-0.5,1786,N/A
ESH20,1/2/2020 10:14,3243.25,3243.75,3243,3243.75,0.75,1152,N/A
ESH20,1/2/2020 10:13,3243.5,3243.75,3242.75,3243,-0.75,2254,N/A
ESH20,1/2/2020 10:12,3243.25,3243.75,3243.25,3243.75,0.5,734,N/A
ESH20,1/2/2020 10:11,3243.25,3243.75,3243,3243.25,0.25,1901,N/A
ESH20,1/2/2020 10:10,3243.25,3243.25,3242.75,3243,-0.25,1689,N/A
ESH20,1/2/2020 10:09,3242.5,3243.5,3242.5,3243.25,0.75,1514,N/A
ESH20,1/2/2020 10:08,3242.75,3243.5,3242.5,3242.5,-0.5,1460,N/A
ESH20,1/2/2020 10:07,3243.25,3243.75,3242.5,3243,-0.25,2757,N/A
ESH20,1/2/2020 10:06,3242.25,3243.25,3242.25,3243.25,1,1708,N/A
ESH20,1/2/2020 10:05,3242.25,3242.5,3241.75,3242.25,0,1699,N/A
ESH20,1/2/2020 10:04,3242.25,3242.75,3242.25,3242.25,-0.25,1282,N/A
ESH20,1/2/2020 10:03,3242.5,3242.75,3242.25,3242.5,-0.25,1511,N/A
ESH20,1/2/2020 10:02,3243.25,3243.25,3242.25,3242.75,-0.5,2332,N/A
ESH20,1/2/2020 10:01,3243.75,3243.75,3242.5,3243.25,-0.5,2595,N/A
ESH20,1/2/2020 10:00,3242.75,3243.75,3242.75,3243.75,0.75,1998,N/A
ESH20,1/2/2020 9:59,3243.5,3243.5,3242.75,3243,-0.5,2025,N/A
ESH20,1/2/2020 9:58,3242.5,3243.5,3242.25,3243.5,1,2243,N/A
ESH20,1/2/2020 9:57,3241.25,3242.75,3241,3242.5,1.25,5019,N/A
ESH20,1/2/2020 9:56,3241,3241.5,3240.75,3241.25,0.25,2032,N/A
ESH20,1/2/2020 9:55,3239.75,3241.25,3239.5,3241,1,6893,N/A
ESH20,1/2/2020 9:54,3239.25,3240,3238.75,3240,0.75,3316,N/A
ESH20,1/2/2020 9:53,3239,3239.25,3238.75,3239.25,0,1186,N/A
ESH20,1/2/2020 9:52,3238.5,3239.25,3238.25,3239.25,1,1519,N/A
ESH20,1/2/2020 9:51,3238.25,3238.75,3237.5,3238.25,0,1992,N/A
ESH20,1/2/2020 9:50,3238.5,3239,3238,3238.25,-0.25,3629,N/A
ESH20,1/2/2020 9:49,3237.5,3238.75,3237.25,3238.5,1,2446,N/A
ESH20,1/2/2020 9:48,3238.5,3238.5,3236.75,3237.5,-0.75,4990,N/A
ESH20,1/2/2020 9:47,3239,3239.25,3238.25,3238.25,-0.75,2477,N/A
ESH20,1/2/2020 9:46,3239,3239.5,3238.75,3239,0,1753,N/A
ESH20,1/2/2020 9:45,3239,3240.25,3238.75,3239,0,4456,N/A
