symbol,timestamp,tradingDay,open,high,low,close,volume
ESH20,2020-02-20T21:45:00-06:00,2/21/2020,3358.75,3358.75,3358.5,3358.5,16
ESH20,2020-02-20T21:46:00-06:00,2/21/2020,3358.75,3359,3358.75,3359,44
ESH20,2020-02-20T21:47:00-06:00,2/21/2020,3359,3359.25,3359,3359,108
ESH20,2020-02-20T21:48:00-06:00,2/21/2020,3359,3359,3359,3359,21
ESH20,2020-02-20T21:49:00-06:00,2/21/2020,3359,3359.25,3359,3359.25,36
ESH20,2020-02-20T21:50:00-06:00,2/21/2020,3359,3359.75,3359,3359.5,263
ESH20,2020-02-20T21:51:00-06:00,2/21/2020,3359.5,3359.75,3359.5,3359.5,113
ESH20,2020-02-20T21:52:00-06:00,2/21/2020,3359.5,3359.5,3359.25,3359.25,73
ESH20,2020-02-20T21:53:00-06:00,2/21/2020,3359.25,3359.25,3359.25,3359.25,33
ESH20,2020-02-20T21:54:00-06:00,2/21/2020,3359.25,3359.5,3359.25,3359.5,59
ESH20,2020-02-20T21:55:00-06:00,2/21/2020,3359.5,3359.75,3359.5,3359.5,13
ESH20,2020-02-20T21:56:00-06:00,2/21/2020,3359.5,3359.5,3359.25,3359.5,76
ESH20,2020-02-20T21:57:00-06:00,2/21/2020,3359.5,3360,3359.5,3359.75,56
ESH20,2020-02-20T21:58:00-06:00,2/21/2020,3359.75,3360.25,3359.75,3360,115
ESH20,2020-02-20T21:59:00-06:00,2/21/2020,3360,3360,3359.5,3360,99
ESH20,2020-02-20T22:00:00-06:00,2/21/2020,3360,3360,3359.75,3360,60
ESH20,2020-02-20T22:01:00-06:00,2/21/2020,3359.75,3360,3359.5,3359.75,89
ESH20,2020-02-20T22:02:00-06:00,2/21/2020,3359.75,3360,3359.75,3360,123
ESH20,2020-02-20T22:03:00-06:00,2/21/2020,3360.25,3360.25,3360,3360,71
ESH20,2020-02-20T22:04:00-06:00,2/21/2020,3360,3360,3360,3360,43
ESH20,2020-02-20T22:05:00-06:00,2/21/2020,3360,3360.25,3360,3360,32
ESH20,2020-02-20T22:06:00-06:00,2/21/2020,3360,3360,3359,3359,164
